X,Y,Z,TimeStmp,Day,Time,,,,,,,,,,,
-0.22026655,3.4727895,9.143456,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1352724,3.4093432,9.375694,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.11851298,3.3734303,9.4295635,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.14604631,3.4021606,9.405622,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.25737667,3.4715924,9.248801,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.30406362,3.5075054,9.062054,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.24660277,3.4943373,8.979453,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.16998832,3.4404678,9.124303,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.17836803,3.4284968,9.406818,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.23104046,3.4201171,9.544485,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.25737667,3.4153287,9.41041,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.19871874,3.4715924,9.137471,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.11492168,3.4799721,8.954314,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.095768064,3.490746,9.059659,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.24181437,3.466804,9.320627,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.33997664,3.454833,9.52174,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.33279404,3.3842041,9.375694,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.21068975,3.4488475,9.082404,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.17477672,3.4919431,9.027337,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.17118542,3.4835634,9.173384,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.16160862,3.4584243,9.357738,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.18555063,3.405752,9.409213,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.23463176,3.3985693,9.400833,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2741361,3.4356794,9.198523,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.22864626,3.4943373,9.039309,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.16639702,3.5087025,9.109938,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1352724,3.4524388,9.291897,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.12330139,3.3865983,9.482236,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.16639702,3.3913867,9.343372,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.25977087,3.4512417,9.232041,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
